DONATIONNUMBER,ITEMNUMBER,ITEMDESCRIPTION,DONATIONREASON,PACK,SIZE_,SIZEUOM,PACKAGINGTYPE,UNITOFMEASURE,QUANTITY,QUANTITYPERPALLET,TOTALPALLETS,GROSSWEIGHT,TOTALGROSSWEIGHT,NETWEIGHT,CUBE,STORAGEREQUIREMENT,MANUFACTUREDATE,EXPIRATIONDATE,SHELFLIFE,EXTENSION,USEBYDATE,BILLOFLADINGNUMBER,STATUS,CODEDATETYPE,MAGREFNUMBER
WD18010186,ANMTRYHBN,TRY HOT BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,6000
WD18010186,ANMTRYHBN1,TRY HAM BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,7000
WD18010186,ANMTRYTWT,TRY WHT BRD 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,8000
WD18010186,ANMTRYHBN,TRY HOT BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,9000
WD18010186,ANMTRYHBN1,TRY HAM BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,10000
WD18010186,ANMTRYTWT,TRY WHT BRD 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,11000
WD18010186,ANMTRYHBN,TRY HOT BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,12000
WD18010186,ANMTRYHBN1,TRY HAM BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,13000
WD18010186,ANMTRYTWT,TRY WHT BRD 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,14000
WD18010186,ANMTRYHBN,TRY HOT BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,15000
WD18010186,ANMTRYHBN1,TRY HAM BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,16000
WD18010186,ANMTRYTWT,TRY WHT BRD 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,17000
WD18010186,ANMTRYHBN,TRY HOT BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,18000
WD18010186,ANMTRYHBN1,TRY HAM BN 16oz,Discontinued Item,/ Bag,,Bag,,Box,20.0,30.0,0.66666667,30.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,Acknowledged,,19000
WD18010198,931523,conair gentle&flexible comb,Discontinued Item,/,,,Other,Case,47.0,,,0.001,0.047,,,DRY,,,,,,,Acknowledged,,1000
WD18010198,931524,conair ultimate tease comb,Discontinued Item,/,,,Other,Case,73.0,,,0.05,3.65,,,DRY,,,,,,,Acknowledged,,2000
WD18010198,974257,conair wide tooth rake lift comb,Discontinued Item,/,,,Other,Case,107.0,,,0.06,6.42,,,DRY,,,,,,,Acknowledged,,3000
WD18010198,974296,conair pony wrap 3 pc kit,Discontinued Item,/,,,Other,Case,139.0,,,0.06,8.34,,,DRY,,,,,,,Acknowledged,,4000
WD18020029,270003897011,HNT PUREE TOM 12/29Z,Damaged,/,,,,,1.0,88.0,0.0,25.0,25.0,,,DRY,4/20/2017,,315,,3/1/2018,,Acknowledged,,1000
WD18020029,dan1,pdq tesing man dates with time,Damaged,/,,,,,1.0,12.0,100.0,1000.0,1000.0,,,DRY,12/12/2017,,,,12/12/2017,,Acknowledged,,2000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,20.0,200.0,,,FROZEN,10/20/2017,,,,10/20/2017,,,,6000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,25.0,250.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,7000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,,Bag,,Carton,10.0,50.0,0.2,30.0,300.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,8000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,20.0,200.0,,,FROZEN,10/20/2017,,,,10/20/2017,,,,9000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,25.0,250.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,10000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,,Bag,,Carton,10.0,50.0,0.2,30.0,300.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,11000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,20.0,200.0,,,FROZEN,10/20/2017,,,,10/20/2017,,,,12000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,25.0,250.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,13000
WD18020051,Chk636T345,LRG WNG Bulk,Discontinued Item,/ Bag,,Bag,,Case,1.0,1.0,1.0,500.0,500.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,14000
WD18020051,Chk636T345,LRG WNG Bulk,Discontinued Item,/ Bag,,Bag,,Case,1.0,1.0,1.0,500.0,500.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,1000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,,Bag,,Carton,10.0,50.0,0.2,30.0,300.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,2000
WD18020051,Chk63F321,BNLS BRST LRG SKNLS,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,20.0,200.0,,,FROZEN,10/20/2017,,,,10/20/2017,,,,3000
WD18020051,Chk63F543,BNIN BRST LRG SKNON,Discontinued Item,/ Bag,,Bag,,Case,10.0,50.0,0.2,25.0,250.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,4000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,,Bag,,Carton,10.0,50.0,0.2,30.0,300.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,5000
WD18020051,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,,Bag,,Carton,10.0,50.0,0.2,30.0,300.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,15000
WD18010134,BRL9445TT,RD SUCE BRL,Discontinued Item,/,,,,,10.0,5.0,2.0,500.0,5000.0,,,DRY,10/20/2018,,,,10/20/2018,,,,1000
WD18010134,BCS2209MM,RD SCE 12oz,Discontinued Item,/,,,,,500.0,50.0,10.0,30.0,15000.0,,,DRY,10/20/2018,,,,10/20/2018,,,,2000
WD18010135,CMPCSCHIX,CHIK SP NDL 18oz,Discontinued Item,/,,,,,561.0,30.0,18.7,30.0,16830.0,,,DRY,10/20/2018,,,,10/20/2018,,,,2000
WD18010135,CMPCSBFBRT,BEEF SP PTO 18oz,Discontinued Item,/,,,,,399.0,30.0,13.3,30.0,11970.0,,,DRY,10/20/2018,,,,10/20/2018,,,,3000
WD18010135,CMPCSTMT,TOMT SP 18oz,Discontinued Item,/,,,,,775.0,30.0,25.8333333333333,30.0,23250.0,,,DRY,10/20/2018,,,,10/20/2018,,,,4000
WD18010136,ANMBLKCRM,BRD CRM BLK,Discontinued Item,/,,,,,1.0,1.0,1.0,600.0,600.0,,,DRY,10/20/2018,,,,10/20/2018,,,,1000
WD18010125,Chk636T345,LRG WNG Bulk,Discontinued Item,/ Bag,,Bag,,Case,1.0,1.0,1.0,500.0,500.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,1000
WD18010125,Chk636T3,SML WING CSE,Discontinued Item,/ Bag,,Bag,,Carton,214.0,50.0,4.28,30.0,6420.0,,,FROZEN,10/20/2018,,,,10/20/2018,,,,2000
