org_id,entity_name,printable_name,status_flag,currency,currency_pattern,float_pattern,group_separator,group_size,decimal_char,language,country,time_zone,org_type,created_time,created_by,modified_time,modified_by,sys_flags,path,years_in_business,industry_val_num,annual_rev_vid,emp_count_vid,oca,parent_org_id,master_org_id
ORG_00004JUP,Raleigh,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-03 21:17:02,USER_00004IV5,2006-01-06 00:06:46,USER_00004Q9N,0,ORG_00000001.ORG_00004IFI.ORG_00004JUP,0.0,0.0,0.0,0.0,3,ORG_00004IFI,ORG_00004IFI
ORG_00004K1H,Kellogg,Kellogg,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-09 20:58:22,USER_00004K1T,2003-04-10 02:32:20,USER_00004K1T,0,ORG_00000001.ORG_00004IFH.ORG_00004K1H,0.0,0.0,0.0,0.0,3,ORG_00004IFH,ORG_00004IFH
ORG_00004K1I,Barilla,Barilla,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-09 21:22:11,USER_00004K1T,2003-04-09 21:52:44,USER_00004K1T,0,ORG_00000001.ORG_00004IFH.ORG_00004K1I,0.0,0.0,0.0,0.0,3,ORG_00004IFH,ORG_00004IFH
ORG_00004K4L,TestLocation1,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-11 21:38:10,USER_00004J2D,2003-04-16 21:06:44,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004ILP.ORG_00004J5E.ORG_00004K4L,0.0,0.0,0.0,0.0,1,ORG_00004J5E,ORG_00004IFH
ORG_00004K4M,BethlehemDC,Bethlehem Mixing Center,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-14 20:36:42,USER_00004IV5,2003-04-14 20:58:16,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004K4M,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004K4N,ColumbusDC,Columbus Mixing Center,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-14 20:40:53,USER_00004IV5,2003-04-14 21:02:40,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004K4N,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004K4O,NorcrossDC,Norcross Mixing Center,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-14 20:41:33,USER_00004IV5,2003-04-14 21:21:31,USER_00004K4V,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004K4O,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004K4P,GarlandDC,Garland Mixing Center,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-14 20:42:10,USER_00004IV5,2003-04-14 20:59:48,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004K4P,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004K4Q,StocktonDC,Stockton Warehouse,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-15 20:13:38,USER_00004IV5,2003-04-15 20:23:55,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004K4Q,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004K4R,NorthlakeDC,Northlake Warehouse,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-15 20:14:12,USER_00004IV5,2003-04-15 20:21:06,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004K4R,0.0,0.0,0.0,0.0,3,ORG_00004IFK,ORG_00004IFH
ORG_00004K4S,OntarioDC,Ontario Warehouse,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-15 20:17:35,USER_00004IV5,2003-04-15 20:27:57,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004K4S,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004K4T,FtWorthRef,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-16 20:04:12,USER_00004IV5,2003-04-17 21:10:25,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004IFK.ORG_00004K4T,0.0,0.0,0.0,0.0,1,ORG_00004IFK,ORG_00004IFH
ORG_00004K4U,TestDonor1,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-16 20:10:44,USER_00004IV5,2003-04-16 20:21:14,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004K4U,0.0,0.0,0.0,0.0,3,ORG_00004IFH,ORG_00004IFH
ORG_00004K4V,TestLocation2,Unknown,A,USD,"*###,##0.00","###,##0.###",",",3,.,en,US,,S,2003-04-16 20:12:41,USER_00004IV5,2003-04-16 20:15:54,USER_00004IV5,0,ORG_00000001.ORG_00004IFH.ORG_00004K4U.ORG_00004K4V,0.0,0.0,0.0,0.0,1,ORG_00004K4U,ORG_00004IFH
