org_id,org_name,status,created_time,currency,data_source
ORG_00004NAB,EugeneFRO,Active,2004-11-24 17:06:12,USD,Choice
ORG_00004NAC,Evansville,Active,2004-11-24 17:11:00,USD,Choice
ORG_00004NAD,Fairfield,Active,2004-11-24 17:21:59,USD,Choice
ORG_00004NAE,Farrell,Active,2004-11-24 17:23:54,USD,Choice
ORG_00004NAF,GrandRapids,Active,2004-11-24 17:28:26,USD,Choice
ORG_00004NAG,Gray,Active,2004-11-24 17:31:31,USD,Choice
ORG_00004NAH,Hiawatha,Active,2004-11-24 17:36:01,USD,Choice
ORG_00004NAI,HoustonFRO,Active,2004-11-24 17:38:48,USD,Choice
ORG_00004NAJ,Huntington,Active,2004-11-24 17:42:24,USD,Choice
ORG_00004NAK,JonesboroFB,Active,2004-11-24 17:45:41,USD,Choice
ORG_00004NAL,LaCrosseFRO,Active,2004-11-24 17:48:56,USD,Choice
ORG_00004NAM,LemoyneFRO,Active,2004-11-24 17:53:30,USD,Choice
ORG_00004NAN,Logan,Active,2004-11-24 18:01:21,USD,Choice
ORG_00004NAO,Lorain,Active,2004-11-24 18:04:30,USD,Choice
ORG_00004NAP,MadisonFB,Active,2004-11-24 18:08:41,USD,Choice
ORG_00004NAQ,MadisonFRO,Active,2004-11-24 18:10:29,USD,Choice
ORG_00004NAR,Mauldin,Active,2004-11-24 18:37:14,USD,Choice
ORG_00004NAS,Mesa,Active,2004-11-24 18:39:20,USD,Choice
ORG_00004NAT,Millwood,Active,2004-11-24 18:41:24,USD,Choice
ORG_00004NAU,Mineola,Active,2004-11-24 18:42:57,USD,Choice
ORG_00004NAV,MissoulaFRO,Active,2004-11-24 19:39:06,USD,Choice
ORG_00004KTM,Boise,Active,2003-06-11 21:06:06,USD,Choice
ORG_00004KTN,Nashville,Active,2003-06-11 21:17:19,USD,Choice
ORG_00004KTO,Buffalo,Active,2003-06-11 21:31:13,USD,Choice
ORG_00004KTP,NewOrleansZD,Active,2003-06-11 21:32:23,USD,Choice
ORG_00004KTQ,NewOrleans,Active,2003-06-11 21:32:56,USD,Choice
ORG_00004KTR,LathamZD,Active,2003-06-11 21:33:38,USD,Choice
ORG_00004KTS,Latham,Active,2003-06-11 21:34:15,USD,Choice
ORG_00004L0P,Norfolk,Active,2003-06-12 17:10:07,USD,Choice
ORG_00004L0Q,NorfolkZC,Active,2003-06-12 17:18:10,USD,Choice
ORG_00004L0R,Fayetteville,Active,2003-06-12 17:18:57,USD,Choice
ORG_00004L0S,Charleston,Active,2003-06-12 17:19:36,USD,Choice
ORG_00004L3T,Augusta,Active,2003-06-23 21:15:25,USD,Choice
ORG_00004L3U,Charlotte,Active,2003-06-23 21:17:05,USD,Choice
ORG_00004L3V,Lexington,Active,2003-06-23 21:18:09,USD,Choice
ORG_00004L40,TulsaZC,Active,2003-06-23 21:19:16,USD,Choice
ORG_00004L41,WinstonSalem,Active,2003-06-23 21:21:52,USD,Choice
